id;pais;ciudad;localidad;codigo_postal;calle;numero
1;physically;upside-down enrich masquerade;aching;28504;contrail;seldom colonialism outlying
2;yuck;drat;king merge brown;27384;judgementally quickly;multicolored
3;pants fictionalize perfectly;frizz;pro adumbrate;18328;fiercely;ocelot whereas
4;upright ignorance etch;thankfully;drab;4416;syringe;aha
5;woot;browse;because oof stump;6798;wedding reporter;unexpectedly abaft once
6;boo fooey pretty;jovially verbally;oxidise grouchy;6928;with aboard till;calculus buzzing mysteriously
7;desecrate at;beard;serve;2361;gee however cake;CD quarrelsome happily
8;understanding;testimonial;regarding;24603;hm anti;noisily but
9;um meanwhile;knottily forceful;huzzah till;4599;inexperienced whose fearless;far indeed tenant
10;provided terrorise access;feather;complication aha brr;21384;yowza;by incidentally spattering
