id;id_usuario;nombre;apellido;dni;puesto;disponibilidad;turno
1;17422;sedately indeed provided;footrest;but so meanwhile;MEDICO;true;DIA
2;27608;metal;saloon;ha;ENFERMERO;false;DIA
3;27825;critical urgently whether;fortunately tank;whoever zowie limply;CELADOR;true;TARDE
4;5686;enhance mmm worth;until;bashfully;CELADOR;true;DIA
5;20701;why blah appreciate;hepatitis trek supplier;unfortunately until;ADMINISTRATIVO;true;NOCHE
6;19940;inasmuch;which clinking nun;cuddly psst towards;ENFERMERO;false;DIA
7;4192;since boo;to following;gosh coordination meh;CELADOR;false;GUARDIA
8;2148;fooey off;alongside however rim;in vice;MEDICO;true;NOCHE
9;19929;dowse;generally depart evenly;entry until aw;ENFERMERO;true;DIA
10;32319;while above after;weary;excluding function owlishly;ENFERMERO;false;TARDE
